,SECTION,CATEGORY,NAME,ADDRESS,RANK
49,Brags,Favorite Community Event,Over the Rainbow Pride Celebration at Treat Yo Self Bakery,,
50,Brags,Favorite Small Business,"Eastern Pulmonary & Sleep Medicine, P.A","2303 Wellington Dr SW c, Wilson, NC 27893, USA",
51,Brags,Favorite Boss,Beth Hughey - Carol Creech Promotions,,
52,Brags,Favorite Place to Work,Carol Creech Promotions & Marketing,"1901 Tarboro St SW, Wilson, NC 27893, USA",
53,Brags,Favorite Small Business,Carol Creech Promotions & Marketing,"1901 Tarboro St SW, Wilson, NC 27893, USA",
54,Brags,Favorite Community Event,The Grinch by Hunter's Dance,"2602 Tilghman Rd N, Wilson, NC 27896, United States",2.0
55,Brags,Favorite Customer Service,Deans Farm Market,"7732, 4231 NC-42, Wilson, NC 27893, United States",
56,Brags,Favorite 'Made in Wilson' Product,Deans Farm Market’s Frozen Collards,,2.0
57,Brags,Favorite Small Business,Deans Farm Market,,2.0
58,Brags,Favorite Place to Work,Deans Farm Market,,3.0
59,Brags,Favorite New Business,Vitality Nutrition,"2800 Raleigh Rd Pkwy W Unit B-3, Wilson, NC 27893, USA",
60,Brags,Favorite Customer Service,Treat Yo' Self Bakery,"419 Goldsboro St S, Wilson, NC 27893, United States",1.0
61,Brags,Favorite Small Business,Carolina Nutrition Spot,"1700 Raleigh Rd Pkwy W #126, Wilson, NC 27896, United States",
62,Brags,Favorite Boss,Jessica Bailey - Eye Care Center,,
63,Brags,Favorite Place to Work,Wilson Community Health Center,,
64,Brags,Favorite Customer Service,Carolina Nutrition Spot,"1700 Raleigh Rd Pkwy W #126, Wilson, NC 27896, United States",
65,Brags,Favorite Customer Service,Coastal Posh Boutique,,
66,Brags,Favorite New Business,Coastal Posh Boutique,,
67,Brags,Favorite Small Business,Coastal Posh Boutique,,
68,Brags,Favorite Boss,Regina Medlin - Coastal Posh Boutique,,
69,Brags,Favorite Community Ambassador,Mickey Grizzard - Mulligans fore Kids,,
70,Brags,Favorite 'Made in Wilson' Product,Artisan Leaf,,3.0
71,Brags,Favorite New Business,The Selkie,"214 Goldsboro St S, Wilson, NC 27893, USA",
72,Brags,Favorite Non-profit,Wesley Shelter,"106 Vance St E, Wilson, NC 27893, USA",3.0
73,Brags,Favorite Small Business,Tig's Courtyard,"109 Barnes St W, Wilson, NC 27893, USA",
74,Brags,Favorite Place to Work,Wilson Times,"126 Nash St N, Wilson, NC 27893, USA",
75,Brags,Favorite Small Business,Vitality Nutrition,"2800 Raleigh Rd Pkwy W Unit B-3, Wilson, NC 27893, USA",
76,Brags,Favorite Small Business,Fulford & Jones,"2328 Womble-Brooks Rd, Wilson, NC 27893, USA",
77,Brags,Favorite New Business,Chipotle,,
78,Brags,Favorite Non-profit,The CHEW,,
79,Brags,Favorite Non-profit,Wilson County Humane Society,,
80,Brags,Favorite Small Business,Art Happens on Tarboro,"106 Tarboro St W, Wilson, NC 27893, USA",
81,Brags,Favorite Small Business,The Nook,,
82,Brags,Favorite Community Event,Miss Wilson Scholarship Pageant,,
83,Brags,Favorite Customer Service,Southern BEST Casual Clothing & Gifts,"3513 Airport Blvd NW, Wilson, NC 27896, United States",
84,Brags,Favorite New Business,Southern BEST Casual Clothing & Gifts,"3513 Airport Blvd NW, Wilson, NC 27896, United States",
85,Brags,Favorite Small Business,Southern BEST Casual Clothing & Gifts,"3513 Airport Blvd NW, Wilson, NC 27896, United States",
86,Brags,Favorite Non-profit,Carolina Family Health Centers,,
87,Brags,Favorite Boss,Laura Owens - Carolina Family Health Centers,,
88,Brags,Favorite Place to Work,Carolina Family Health Centers,"303 Green St E, Wilson, NC 27893, United States",1.0
89,Brags,Favorite Boss,"Sayeed Hossain - Eastern Pulmonary & Sleep Medicine, PA",,
90,Brags,Favorite Customer Service,"Eastern Pulmonary & Sleep Medicine, P.A","2303 Wellington Dr SW c, Wilson, NC 27893, USA",
91,Brags,Favorite Boss,Lisa Erp - Harvest Family Health Center,,
92,Brags,Favorite Place to Work,Harvest Family Health Center,"8250 North Carolina Hwy 58, Elm City, NC 27822, USA",
93,Brags,Favorite Community Event,St. Baldrick's,,
94,Brags,Favorite Community Ambassador,Mary Catherine Smith - J.W. Hunter Company,,
95,Brags,Favorite Place to Work,"Dixon, Boles & Associates","109 Brentwood Center Ln, Wilson, NC 27896, United States",
96,Brags,Favorite Boss,"Scott Dixon - Dixon, Boles & Associates",,
97,Brags,Favorite Boss,Christy Proctor - Chick-fil-A,,
98,Brags,Favorite 'Made in Wilson' Product,OMGoodness Pimento Cheese,,
99,Brags,Favorite Small Business,Great Gardens Nursery & Landscape,"4311 Wiggins Mill Rd, Wilson, NC 27893, United States",
100,Brags,Favorite 'Made in Wilson' Product,T.L. Herring Chili,,
101,Brags,Favorite Boss,"William B. Boles, III - Dixon, Boles & Associates",,
102,Brags,Favorite Boss,Suzanne Holmes - Holmes & Williford,,
103,Brags,Favorite Boss,Mary Catherine Hunter-Smith - JW Hunter Company,,1.0
104,Brags,Favorite Boss,Tripp Vaughan - Vaughan’s Jewelers,,
105,Brags,Favorite Customer Service,Vaughan's Jewelers,"2801 Ward Blvd # 3, Wilson, NC 27893, United States",
106,Brags,Favorite Place to Work,Vaughan's Jewelers,"2801 Ward Blvd # 3, Wilson, NC 27893, United States",
107,Brags,Favorite Customer Service,Raleigh Road Garden Center,"4175 Raleigh Rd Pkwy W, Wilson, NC 27896, United States",
108,Brags,Favorite Place to Work,Truist,,
109,Brags,Favorite Boss,Anna Barnes - Honeysuckle Children’s Boutique,,
110,Brags,Favorite Boss,Jessica Lewis - Honeysuckle Children's Boutique,,
111,Brags,Favorite Customer Service,Action Health Staffing,"3606 Eagle Point Ln NW, Wilson, NC 27896, United States",
112,Brags,Favorite Place to Work,Action Health Staffing,"3606 Eagle Point Ln NW, Wilson, NC 27896, United States",
113,Brags,Favorite Place to Work,J. W. Hunter Company,"2245 Nash St N, Wilson, NC 27896, USA",
114,Brags,Favorite Non-profit,Wilson Crisis Center,"2860 Ward Blvd, Wilson, NC 27893, USA",
115,Brags,Favorite Small Business,Vendor Junction,"417 Nash St N, Wilson, NC 27893, USA",
116,Brags,Favorite Non-profit,Sidekix,"2602 Tilghman Rd N, Wilson, NC 27896, USA",1.0
117,Brags,Favorite Customer Service,Belle & Co,"2801 Ward Blvd # 3A, Wilson, NC 27893, United States",
118,Brags,Favorite Community Event,Fall Fest at Deans Farm Market,,3.0
119,Brags,Favorite Boss,Jimmy Page - EB Sports & Embroidery,,
120,Brags,Favorite Small Business,Belle & Co,"2801 Ward Blvd # 3A, Wilson, NC 27893, United States",
121,Brags,Favorite Customer Service,Wilson Community Health Center,"303 Green St E, Wilson, NC 27893, United States",
122,Brags,Favorite Customer Service,Truist,,
123,Brags,Favorite 'Made in Wilson' Product,Strawberry Shortcake - Treat Yo’ Self Bakery,,
124,Brags,Favorite Customer Service,"Dixon, Boles & Associates",,
125,Brags,Favorite Community Ambassador,Mahalia Witter-Merithew - Casita Brewing Company,,3.0
126,Brags,Favorite Customer Service,Comprehensive Rehab of Wilson,"1811 Forest Hills Rd W, Wilson, NC 27893, United States",
127,Brags,Favorite Community Ambassador,Rhyan Breen - Breen Law,,1.0
128,Brags,Favorite Customer Service,Chick-fil-A,"2407 Forest Hills Rd W, Wilson, NC 27893, USA",2.0
129,Brags,Favorite Place to Work,Hospice of Wilson Medical Center,,
130,Brags,Favorite Non-profit,Wilson Education Partnership,,
131,Brags,Favorite Non-profit,United Way,"509 Nash St N, Wilson, NC 27893, United States",
132,Brags,Favorite Non-profit,Wilson Arts,,
133,Brags,Favorite Customer Service,Wilson Doughnut Shop,"525 Tarboro St SW, Wilson, NC 27893, United States",
134,Brags,Favorite 'Made in Wilson' Product,Barbecue - Marty’s BBQ,,
135,Brags,Favorite Place to Work,Chick-fil-A,"2407 Forest Hills Rd W, Wilson, NC 27893, USA",
136,Brags,Favorite Customer Service,Carol Creech Promotions & Marketing,"1901 Tarboro St SW, Wilson, NC 27893, USA",
137,Brags,Favorite Non-profit,Hope Station,"309 Goldsboro St E, Wilson, NC 27893, USA",
138,Brags,Favorite Community Ambassador,Chris Proctor - Wilson County DSS,,
139,Brags,Favorite Non-profit,Wilson PD PAL (Police Athletic/Activities League),,
140,Brags,Favorite Place to Work,Gracie's Village Shops,"4833 Nash St N, Wilson, NC 27896, United States",
141,Brags,Favorite Small Business,Cups of Joy,"3511-B Airport Blvd NW, Wilson, NC 27896, USA",
142,Brags,Favorite Place to Work,Y.O.U.T.H. of Wilson County,,
143,Brags,Favorite Community Ambassador,Cathy Hardison - Wilson Arts,,
144,Brags,Favorite Community Ambassador,Earl Reaves - Flynn Christian Fellowship Home,,
145,Brags,Favorite Non-profit,Flynn Christian Fellowship Home,"209 Goldsboro St E, Wilson, NC 27893, USA",
146,Brags,Favorite Boss,Jacqueline Jones - Brian Center Health & Rehabilitation,,
147,Brags,Favorite Place to Work,Wilson Medical Center,"1705 Tarboro St SW, Wilson, NC 27893, USA",
148,Brags,Favorite 'Made in Wilson' Product,Berry Galette - Treat Yo Self Bakery,,
149,Brags,Favorite 'Made in Wilson' Product,Barbecue - Parker’s BBQ,,
150,Brags,Favorite Place to Work,Wilson Rehabilitation and Nursing Center,"1705 Tarboro St SW, Wilson, NC 27893, USA",
151,Brags,Favorite Small Business,Liberty Concrete Coatings,,
152,Brags,Favorite Non-profit,OneWilson,,
153,Brags,Favorite Small Business,DiFrent Level Barber Studio,"419 Nash St E, Wilson, NC 27893, USA",
154,Brags,Favorite Non-profit,Wilson Forward,,
155,Brags,Favorite Boss,Hunter Peebles - Hunter's Dance Studio,,2.0
156,Brags,Favorite New Business,The Sculpt Pointe,,
157,Brags,Favorite Boss,Alan Howard - My Wet Willy,,
158,Brags,Favorite Community Event,Maggiepalooza,,
159,Brags,Favorite Community Event,Light Up Brentwood,,
160,Brags,Favorite Community Event,Wilson County Fair,,
161,Brags,Favorite Customer Service,The Action Group- Human Resources Solutions,"314 Nash St E, Wilson, NC 27893, United States",
162,Brags,Favorite Small Business,Digital Ikonz Photography,,
163,Brags,Favorite New Business,Ruckus & Redemption,,
164,Brags,Favorite Boss,Morkos Youssef - Ruckus & Redemption,,
165,Brags,Favorite Customer Service,Ruckus & Redemption,"220 Barnes St S Suite C, Wilson, NC 27893, United States",
166,Brags,Favorite Small Business,Ruckus & Redemption,"220 Barnes St S Suite C, Wilson, NC 27893, United States",
167,Brags,Favorite Place to Work,City of Wilson,"112 Goldsboro St E, Wilson, NC 27893, USA",
168,Brags,Favorite Small Business,The Selkie,"214 Goldsboro St S, Wilson, NC 27893, USA",
169,Brags,Favorite Boss,Tom Sallenger - Sallenger Law,,
170,Brags,Favorite Community Event,Senior Senior Prom,,
171,Brags,Favorite 'Made in Wilson' Product,My Wet Willy,,1.0
172,Brags,Favorite 'Made in Wilson' Product,Bridgestone Tires,,
173,Brags,Favorite Small Business,The UPS Store,,
174,Automotive,Favorite Place to Buy a Car,Hubert Vester Honda,"3701 Raleigh Rd Pkwy W, Wilson, NC 27896, United States",3.0
175,Automotive,Favorite Auto Service and Maintenance,Owens Viking Tire Store,"109 Hines St W, Wilson, NC 27893, United States",1.0
176,Automotive,Favorite Car Wash,Wash Factory,"2640 Ward Blvd, Wilson, NC 27893, USA",1.0
177,Automotive,Favorite Mechanic,Chad Owens - Owens Viking Tire,"109 Hines St W, Wilson, NC 27893, United States",1.0
178,Automotive,Favorite Place to Buy a Car,Lee Chrysler Dodge Jeep Ram,"3700 Raleigh Rd Pkwy W, Wilson, NC 27896, United States",
179,Automotive,Favorite Tire Shop,Owens Viking Tire Store,"109 Hines St W, Wilson, NC 27893, United States",1.0
180,Automotive,Favorite Auto Service and Maintenance,Glenn's Service Center,"106 Jones St SW, Wilson, NC 27893, USA",
181,Automotive,Favorite Tire Shop,Public Tire Warehouse,"900 U.S. Hwy 301 N, Wilson, NC 27893, USA",
182,Automotive,Favorite Place to Buy a Car,Edwards Auto Outlet,,
183,Automotive,Favorite Tire Shop,Quality Tire,,3.0
184,Automotive,Favorite Place to Buy a Car,Medlin Buick GMC,"1900 Tarboro St W, Wilson, NC 27893, USA",1.0
185,Automotive,Favorite Auto Body Shop,Auto Body of Wilson,,
186,Automotive,Favorite Auto Service and Maintenance,Grayson's Auto Service,"3111 Forest Hills Rd SW, Wilson, NC 27893, USA",2.0
187,Automotive,Favorite Mechanic,Linwood Lamm - Grayson’s Auto Service,,3.0
188,Automotive,Favorite Place to Buy a Car,Lee Nissan,,
189,Automotive,Favorite Vehicle Salesperson,David Batts - Lee Ford Lincoln,,2.0
190,Automotive,Favorite Auto Service and Maintenance,Quality Tire Alignment & Brakes,"2802 Chicken Dr, Wilson, NC 27893, USA",3.0
191,Automotive,Favorite Mechanic,Brad Johnson - Brad's Auto & Diesel,,
192,Automotive,Favorite Auto Service and Maintenance,Aycock Import & Domestic Auto Repair & Transmission,"3809 Nash St N, Wilson, NC 27896, USA",
193,Automotive,Favorite Auto Body Shop,Moore's Body Shop,"4133 NC-42, Wilson, NC 27893, USA",2.0
194,Automotive,Favorite Mechanic,Michael Aycock - Aycock Import & Domestic Auto Repair & Transmission,,
195,Automotive,Favorite Place to Buy a Car,Hubert Vester Toyota,"3712 Raleigh Rd Pkwy W, Wilson, NC 27896, United States",2.0
196,Automotive,Favorite Vehicle Salesperson,Alton Vinson - Hubert Vester Toyota,,1.0
197,Automotive,Favorite Auto Body Shop,Pete's Auto Body,"4608 Ward Blvd, Wilson, NC 27893, United States",
198,Automotive,Favorite Car Wash,Hagens Detailing,,3.0
199,Automotive,Favorite Place to Buy a Car,Quality Pre-Owned,"4823 Nash St N, Wilson, NC 27896, USA",
200,Automotive,Favorite Auto Service and Maintenance,Bunn's Auto Repair & Sales,"6573 Radio Tower Rd, Wilson, NC 27893, USA",
201,Automotive,Favorite Tire Shop,Discount Tire,"1711 Raleigh Rd Pkwy W, Wilson, NC 27896, USA",
202,Automotive,Favorite Auto Body Shop,Buddy's Body Shop & Auto Services,,
203,Automotive,Favorite Mechanic,Lee Joyner - Buddy's Body Shop & Auto Services,,
204,Automotive,Favorite Auto Accessories,NAPA Auto Parts,,
205,Automotive,Favorite Tire Shop,Small Town Tire & Service of Kenly,"100 S Church St, Kenly, NC 27542, USA",
206,Automotive,Favorite Tire Shop,Down East Off Road,"1425 Thorne Ave S, Wilson, NC 27893, USA",
207,Automotive,Favorite Auto Body Shop,Billy Ray's Collision Center,,1.0
208,Automotive,Favorite Car Wash,PROdetail Auto Detailing Service,,
209,Automotive,Favorite Auto Accessories,My Wet Willy,"4241 Williamson Rd, Wilson, NC 27893, USA",1.0
210,Automotive,Favorite Vehicle Salesperson,Jake Summerlin - Lee Ford Lincoln,,
211,Automotive,Favorite Auto Body Shop,Bodywerx,"3218 Ward Blvd, Wilson, NC 27893, United States",
212,Automotive,Favorite Tire Shop,B & S Wholesale Tire Center,"225 Goldsboro St S, Wilson, NC 27893, USA",2.0
213,Automotive,Favorite Place to Buy a Car,Lee Ford Lincoln,"4170-C Raleigh Rd Pkwy W, Wilson, NC 27896, USA",
214,Automotive,Favorite Vehicle Salesperson,Dylan Lamm - Lee Chrysler Dodge Jeep Ram,,3.0
215,Automotive,Favorite Auto Body Shop,Proctor's Body Shop,"4032 Wiggins Mill Rd, Wilson, NC 27893, United States",3.0
216,Automotive,Favorite Mechanic,Glenn Williams - Glenn's Service Center,,
217,Automotive,Favorite Car Wash,Auto Bell,,2.0
218,Automotive,Favorite Auto Accessories,Down East Off Road,"1425 Thorne Ave S, Wilson, NC 27893, USA",2.0
219,Automotive,Favorite Mechanic,Xavier DuSablon - Hubert Vester Honda,,2.0
220,Automotive,Favorite Mechanic,Buddy Jones - Grayson's Auto Service,,
221,Automotive,Favorite Tire Shop,Firestone Complete Auto Care,"3607 Raleigh Rd Pkwy W, Wilson, NC 27896, USA",
222,Automotive,Favorite Auto Service and Maintenance,Rouse Automotive & Performance Machine Shop,"2716 Horace Watson Rd S, Wilson, NC 27893, USA",
223,Automotive,Favorite Auto Service and Maintenance,Public Tire Warehouse,,
224,Automotive,Favorite Auto Body Shop,Lujak's Auto Body & Glass,,
225,Automotive,Favorite Auto Service and Maintenance,Brad's Auto and Diesel Repair,"2918 Forest Hills Rd SW, Wilson, NC 27893, United States",
226,Automotive,Favorite Auto Service and Maintenance,Lee Ford Lincoln,,
227,Automotive,Favorite Mechanic,Jackson Parker - Firestone Complete Auto Care,,
228,Automotive,Favorite Auto Service and Maintenance,Hubert Vester Toyota,"3712 Raleigh Rd Pkwy W, Wilson, NC 27896, United States",
229,Automotive,Favorite Auto Service and Maintenance,Hubert Vester Honda,"3701 Raleigh Rd Pkwy W, Wilson, NC 27896, United States",
230,Automotive,Favorite Auto Accessories,Trucker's Toy Store,,3.0
231,Automotive,Favorite Place to Buy a Car,Hubert Vester Chevrolet,,
232,Automotive,Favorite Place to Buy a Car,Terrific Cars,,
233,Automotive,Favorite Vehicle Salesperson,M.A. Tyson - Medlin Buick GMC,,
234,Automotive,Favorite Vehicle Salesperson,Bubba Strickland - Medlin Buick GMC,,
235,Automotive,Favorite Vehicle Salesperson,Karen Godwin - Medlin Buick GMC,,
236,Automotive,Favorite Vehicle Salesperson,Doug Bell - Lee Nissan,,
237,Dining,Favorite Bakery,Treat Yo Self,,1.0
238,Dining,Favorite Burger,Ruckus & Redemption,"220 Barnes St S Suite C, Wilson, NC 27893, United States",1.0
239,Dining,Favorite Food Truck,Item9Pizza,,1.0
240,Dining,Favorite Pizza Place,Item9Pizza,,
241,Dining,Favorite Chef,Jonathan Traylor - Item9Pizza,,
242,Dining,Favorite Waiter/Waitress,Ginny Lamm - Wilson Country Club,,
243,Dining,Favorite Breakfast,Bill's Grill,"119 Nash St N W, Wilson, NC 27893, United States",3.0
244,Dining,Favorite Bartender,Jeremy Barnes - Jack's Restaurant,,1.0
245,Dining,Favorite Barbecue,Parker's Barbecue,"2514 US-301, Wilson, NC 27893, USA",1.0
246,Dining,Favorite Breakfast,Cracker Barrel Old Country Store,"5006 Hayes Pl W, Wilson, NC 27896, USA",
247,Dining,Favorite Mexican Food,El Tapatio Mexican Restaurant,,1.0
248,Dining,Favorite Bakery,Wilson Doughnut Shop,"525 Tarboro St SW, Wilson, NC 27893, United States",2.0
249,Dining,Favorite Barbecue,Marty's BBQ,"2643 Ward Blvd, Wilson, NC 27893, United States",2.0
250,Dining,Favorite Biscuits,Flo's Kitchen,"1015 Goldsboro St S, Wilson, NC 27893, USA",1.0
251,Dining,Favorite Breakfast,The Kountry Kitchen,"618 Ward Blvd, Wilson, NC 27893, USA",
252,Dining,Favorite Buffet,The Kountry Kitchen,"618 Ward Blvd, Wilson, NC 27893, USA",2.0
253,Dining,Favorite Burger,Best-N-Burgers,"4916 Hayes Pl, Wilson, NC 27896, USA",2.0
254,Dining,Favorite Coffee Shop,Wilson Doughnut Shop,"525 Tarboro St SW, Wilson, NC 27893, United States",
255,Dining,Favorite Doughnut,Wilson Doughnut Shop,"525 Tarboro St SW, Wilson, NC 27893, United States",1.0
256,Dining,Favorite Food Truck,The Beefmastor Inn,"2656 US-301, Wilson, NC 27893, USA",
257,Dining,Favorite Fried Chicken,The Kountry Kitchen,"618 Ward Blvd, Wilson, NC 27893, USA",3.0
258,Dining,Favorite Frozen Treat Shop,Pelican's SnoBalls,"4011 Nash St N, Wilson, NC 27896, USA",
259,Dining,Favorite Hot Dog,Dick's Hot Dog Stand,"1500 Nash St N, Wilson, NC 27893, USA",1.0
260,Dining,Favorite Italian Cuisine,Italian Pizza and Subs,"3711 Peppermill Dr, Wilson, NC 27896, USA",2.0
261,Dining,Favorite Lunch Spot,The Kountry Kitchen,"618 Ward Blvd, Wilson, NC 27893, USA",
262,Dining,Favorite Pizza Place,Pizza Inn,"700 Ward Blvd Winoca Shopping Centre, Wilson, NC 27893, United States",1.0
263,Dining,Favorite Steak,Western Sizzlin,"101 Bruton St NE, Wilson, NC 27893, United States",3.0
264,Dining,Favorite Outdoor Dining,Daniel's Casual Fine Dining,"2801 Ward Blvd, Wilson, NC 27893, United States",
265,Dining,Favorite Pizza Place,Mama Mia Pizza & Italian Restaurant,"1700 Raleigh Rd Pkwy W #132, Wilson, NC 27896, United States",3.0
266,Dining,Favorite Overall Restaurant,Daniel's Casual Fine Dining,"2801 Ward Blvd, Wilson, NC 27893, United States",2.0
267,Dining,Favorite Mexican Food,La Rancherita,"3401 Raleigh Rd Pkwy W, Wilson, NC 27896, USA",2.0
268,Dining,Favorite Lunch Spot,Sugar Plum Shoppe,"117 Nash St N W, Wilson, NC 27893, USA",3.0
269,Dining,Favorite Mexican Food,San Jose Mexican Restaurant,"1700 Raleigh Rd Pkwy W #120, Wilson, NC 27896, United States",
270,Dining,Favorite Pizza Place,Paul's of New York Restaurant,"3106 Nash St N, Wilson, NC 27896, United States",
271,Dining,Favorite Pizza Place,Domino's Pizza,"1613 Raleigh Rd Pkwy W, Wilson, NC 27896, United States",
272,Dining,Favorite Sandwich,Sugar Plum Shoppe,"2801 Ward Blvd, Wilson, NC 27893, USA",2.0
273,Dining,Favorite Special Occasion Restaurant,Olive Garden Italian Restaurant,"3401 Raleigh Rd Pkwy W #7, Wilson, NC 27893, USA",
274,Dining,Favorite Beer/Wine Shop,Casita Brewing Company,,1.0
275,Dining,Favorite Caterer,ALC Catering,,
276,Dining,Favorite Chef,Akeshyana Cooper - ALC Catering,,
277,Dining,Favorite Biscuits,Bojangles,"5033 Raleigh Rd Pkwy W, Wilson, NC 27893, United States",3.0
278,Dining,Favorite Food Truck,New South BBQ,,
279,Dining,Favorite Fried Chicken,Marty's BBQ,"2643 Ward Blvd, Wilson, NC 27893, United States",2.0
280,Dining,Favorite Outdoor Dining,La Rancherita,,2.0
281,Dining,Favorite Coffee Shop,Dunkin',"2113 Nash St N, Wilson, NC 27896, USA",
282,Dining,Favorite Outdoor Dining,Pup's Steakhouse,"2801 Ward Blvd #3d, Wilson, NC 27893, USA",1.0
283,Dining,Favorite Overall Restaurant,Pup's Steakhouse,"2801 Ward Blvd #3d, Wilson, NC 27893, USA",
284,Dining,Favorite Burger,Hwy 55 Burgers Shakes & Fries,"2620 Forest Hills Rd SW, Wilson, NC 27893, USA",
285,Dining,Favorite Chinese Food,Hong Kong Restaurant,"3711 Peppermill Dr, Wilson, NC 27896, United States",1.0
286,Dining,Favorite Steak,The Beefmastor Inn,"2656 US-301, Wilson, NC 27893, USA",1.0
287,Dining,Favorite Hot Dog,Hwy 55 Burgers Shakes & Fries,"2620 Forest Hills Rd SW, Wilson, NC 27893, USA",
288,Dining,Favorite Coffee Shop,Cups of Joy,"3511-B Airport Blvd NW, Wilson, NC 27896, USA",1.0
289,Dining,Favorite Italian Cuisine,Item9Pizza,,
290,Dining,Favorite Coffee Shop,Treat Yo' Self Bakery,"419 Goldsboro St S, Wilson, NC 27893, United States",
291,Dining,Favorite Breakfast,Treat Yo' Self Bakery,"419 Goldsboro St S, Wilson, NC 27893, United States",2.0
292,Dining,Favorite Breakfast,Carolina Nutrition Spot Wilson,"1700 Raleigh Rd Pkwy W #126, Wilson, NC 27896, United States",
293,Dining,Favorite Fried Chicken,Whole Truth Lunchroom,"515 Walnut St S, Wilson, NC 27893, USA",
294,Dining,Favorite Italian Cuisine,Monticello Cafe,"2801 Ward Blvd # 1K, Wilson, NC 27893, USA",
